Date,SW Life satisfaction,SW Worthwhile,SW Hapiness,SW Anxiety,UK Life Satisfaction,UK Worthwhile,UK Hapiness,UK Anxiety
01-01-22,7.53,7.73,7.47,3.20,7.50,7.80,7.40,3.20
01-02-22,7.53,7.73,7.47,3.20,7.50,7.80,7.40,3.20
01-03-22,7.53,7.73,7.47,3.20,7.50,7.80,7.40,3.20
01-04-22,7.61,7.80,7.60,2.99,7.50,7.80,7.50,3.20
01-05-22,7.61,7.80,7.60,2.99,7.50,7.80,7.50,3.20
01-06-22,7.61,7.80,7.60,2.99,7.50,7.80,7.50,3.20
01-07-22,7.55,7.77,7.45,3.12,7.50,7.80,7.40,3.20
01-08-22,7.55,7.77,7.45,3.12,7.50,7.80,7.40,3.20
01-09-22,7.55,7.77,7.45,3.12,7.50,7.80,7.40,3.20
01-10-22,7.51,7.75,7.38,3.12,7.50,7.80,7.40,3.30
01-11-22,7.51,7.75,7.38,3.12,7.50,7.80,7.40,3.30
01-12-22,7.51,7.75,7.38,3.12,7.50,7.80,7.40,3.30
01-01-23,7.51,7.82,7.38,3.18,7.40,7.70,7.30,3.30
01-02-23,7.51,7.82,7.38,3.18,7.40,7.70,7.30,3.30
01-03-23,7.51,7.82,7.38,3.18,7.40,7.70,7.30,3.30
01-04-23,7.60,7.90,7.60,3.00,7.50,7.80,7.50,3.10
01-05-23,7.60,7.90,7.60,3.00,7.50,7.80,7.50,3.10
01-06-23,7.60,7.90,7.60,3.00,7.50,7.80,7.50,3.10
01-07-23,7.60,7.90,7.60,3.00,7.50,7.80,7.40,3.20
01-08-23,7.60,7.90,7.60,3.00,7.50,7.80,7.40,3.20
01-09-23,7.60,7.90,7.60,3.00,7.50,7.80,7.40,3.20
01-10-23,7.60,7.80,7.30,3.30,7.50,7.80,7.40,3.30
01-11-23,7.60,7.80,7.30,3.30,7.50,7.80,7.40,3.30
01-12-23,7.60,7.80,7.30,3.30,7.50,7.80,7.40,3.30
01-01-24,7.50,7.80,7.40,3.10,7.50,7.80,7.30,3.20
01-02-24,7.50,7.80,7.40,3.10,7.50,7.80,7.30,3.20
01-03-24,7.50,7.80,7.40,3.10,7.50,7.80,7.30,3.20
01-04-24,7.50,7.80,7.50,3.20,7.50,7.80,7.40,3.20
01-05-24,7.50,7.80,7.50,3.20,7.50,7.80,7.40,3.20
01-06-24,7.50,7.80,7.50,3.20,7.50,7.80,7.40,3.20
01-07-24,7.60,7.90,7.50,3.00,7.50,7.80,7.50,3.10
01-08-24,7.60,7.90,7.50,3.00,7.50,7.80,7.50,3.10
01-09-24,7.60,7.90,7.50,3.00,7.50,7.80,7.50,3.10
